Date,AAPL,MSFT,MC.PA,AIR.PA
2024-03-06,167.05,376.57,592.44,155.68
2024-03-07,167.81,373.36,602.19,154.88
2024-03-08,164.33,371.28,604.39,154.33
2024-03-11,165.03,374.56,607.31,154.86
2024-03-12,164.33,377.3,603.87,153.97
2024-03-13,163.06,377.44,599.8,156.56
2024-03-14,164.33,378.15,596.23,154.82
2024-03-15,166.43,383.69,599.58,154.52
2024-03-18,168.35,381.43,596.11,153.71
2024-03-19,166.72,383.95,598.59,156.68
2024-03-20,166.17,383.33,616.04,157.16
2024-03-21,166.9,382.64,623.62,159.35
2024-03-22,168.92,387.49,620.83,156.35
2024-03-25,168.02,391.25,631.33,156.97
2024-03-26,167.71,394.98,627.79,158.86
2024-03-27,165.55,400.89,609.94,159.11
2024-03-28,163.24,401.22,601.39,161.4
2024-03-29,164.9,404.47,585.7,160.39
2024-04-01,167.65,403.34,582.88,163.41
2024-04-02,167.57,405.02,583.09,168.38
2024-04-03,169.65,404.68,596.83,167.67
2024-04-04,170.46,405.35,599.62,166.78
2024-04-05,169.21,408.25,597.84,170.01
2024-04-08,170.01,404.82,604.84,173.59
2024-04-09,173.21,414.38,586.18,172.5
2024-04-10,173.21,410.05,588.17,171.64
2024-04-11,176.53,404.81,594.58,171.1
2024-04-12,171.05,410.21,582.33,168.19
2024-04-15,172.81,414.03,591.71,166.27
2024-04-16,173.06,417.12,594.58,164.18
2024-04-17,172.5,420.26,591.18,162.62
2024-04-18,172.76,420.45,596.48,162.63
2024-04-19,168.71,416.56,615.5,163.21
2024-04-22,168.33,417.15,617.13,166.58
2024-04-23,169.12,414.3,619.33,164.5
2024-04-24,172.19,418.99,615.41,166.69
2024-04-25,171.19,418.56,608.15,166.31
2024-04-26,169.6,415.01,615.28,166.28
2024-04-29,168.64,413.79,607.97,167.83
2024-04-30,170.56,415.92,608.64,165.46
2024-05-01,171.3,413.59,604.63,166.37
2024-05-02,170.28,410.1,608.74,166.81
2024-05-03,171.4,411.44,611.65,167.96
2024-05-06,171.67,412.8,620.59,168.68
2024-05-07,173.73,410.75,616.22,174.14
2024-05-08,172.34,408.86,613.96,172.79
2024-05-09,171.73,410.15,605.61,171.68
2024-05-10,170.99,403.87,601.9,170.38
2024-05-13,168.06,397.86,605.14,169.23
2024-05-14,168.72,394.95,611.61,167.91
2024-05-15,169.32,394.26,603.78,170.59
2024-05-16,169.39,395.84,611.19,173.83
2024-05-17,168.98,402.51,622.85,172.63
2024-05-20,166.18,406.55,626.52,170.84
2024-05-21,165.41,406.07,643.04,171.98
2024-05-22,164.8,406.23,636.14,170.83
2024-05-23,163.27,402.0,625.12,172.32
2024-05-24,163.02,402.16,609.61,172.86
2024-05-27,163.88,401.12,622.44,169.54
2024-05-28,167.65,402.78,628.21,173.04
2024-05-29,168.07,399.36,627.78,177.16
2024-05-30,168.66,401.88,630.31,175.84
2024-05-31,168.58,408.9,620.44,175.04
2024-06-03,164.76,408.66,641.74,175.78
2024-06-04,164.78,410.71,642.97,176.63
2024-06-05,164.96,414.07,644.02,178.23
2024-06-06,169.9,412.49,650.63,182.98
2024-06-07,169.58,413.76,655.07,182.65
2024-06-10,170.26,414.06,657.19,180.84
2024-06-11,170.26,414.75,649.98,177.69
2024-06-12,167.94,411.48,654.34,176.09
2024-06-13,170.31,411.83,671.65,176.1
2024-06-14,171.91,414.34,684.36,180.3
2024-06-17,173.61,421.2,699.7,179.18
2024-06-18,171.79,425.9,694.76,179.79
2024-06-19,174.75,436.24,685.2,179.84
2024-06-20,171.88,432.82,684.06,182.71
2024-06-21,173.16,437.23,684.67,188.8
2024-06-24,177.78,438.38,695.22,187.59
2024-06-25,175.74,449.2,678.82,186.49
2024-06-26,174.61,445.48,693.42,189.12
2024-06-27,174.89,441.63,691.96,190.89
2024-06-28,173.9,438.98,687.89,195.57
2024-07-01,170.74,428.99,678.21,197.15
2024-07-02,170.95,426.76,662.57,196.33
2024-07-03,168.84,423.46,670.27,197.93
2024-07-04,169.86,424.41,671.03,200.88
2024-07-05,168.06,426.26,658.98,203.13
2024-07-08,171.25,435.32,647.09,204.57
2024-07-09,169.71,440.13,644.12,207.51
2024-07-10,169.12,437.6,659.23,210.77
2024-07-11,170.84,433.54,656.9,214.66
2024-07-12,168.38,436.14,643.14,216.58
2024-07-15,168.91,430.07,640.99,216.21
2024-07-16,171.63,438.99,638.61,216.73
2024-07-17,168.39,444.95,614.56,220.24
2024-07-18,168.83,442.92,614.16,218.01
2024-07-19,169.42,434.84,612.23,219.17
2024-07-22,171.08,441.58,618.26,218.16
2024-07-23,168.61,441.29,634.33,218.35
2024-07-24,166.0,447.56,644.4,222.08
2024-07-25,167.11,439.98,642.03,222.75
2024-07-26,167.77,437.34,632.15,222.99
2024-07-29,168.34,437.63,654.99,219.16
2024-07-30,169.11,438.12,655.6,221.4
2024-07-31,167.8,436.21,655.79,223.37
2024-08-01,168.33,439.46,655.64,229.76
2024-08-02,168.99,434.57,657.52,228.96
2024-08-05,167.61,434.15,656.26,229.72
2024-08-06,171.43,434.98,651.05,230.58
2024-08-07,172.47,437.7,646.13,235.43
2024-08-08,170.08,441.39,645.9,235.25
2024-08-09,171.49,436.2,641.05,236.22
2024-08-12,169.55,429.1,634.72,238.21
2024-08-13,171.22,435.38,635.73,238.91
2024-08-14,173.67,437.24,633.52,237.64
2024-08-15,172.03,433.9,646.92,238.36
2024-08-16,174.08,441.56,622.98,241.8
2024-08-19,175.02,442.39,632.56,238.7
2024-08-20,176.81,448.39,643.66,239.23
2024-08-21,180.91,449.0,625.04,237.17
2024-08-22,180.45,459.44,622.1,240.97
2024-08-23,178.89,468.59,618.93,236.32
2024-08-26,177.05,467.59,606.8,234.72
2024-08-27,175.39,472.87,600.25,235.99
2024-08-28,175.29,476.51,590.98,240.91
2024-08-29,176.08,483.97,605.53,240.83
2024-08-30,176.74,479.12,613.53,239.21
2024-09-02,178.56,483.02,624.51,245.18
2024-09-03,178.66,488.94,630.88,240.69
2024-09-04,181.85,479.77,620.97,233.93
2024-09-05,181.34,473.81,616.48,235.38
2024-09-06,187.34,463.47,620.76,233.96
2024-09-09,188.82,462.38,610.2,230.97
2024-09-10,186.95,466.3,616.35,233.22
2024-09-11,184.62,474.29,614.34,234.07
2024-09-12,185.77,474.96,611.18,232.47
2024-09-13,185.34,483.75,617.32,228.72
2024-09-16,187.0,476.7,621.23,231.43
2024-09-17,188.14,468.05,618.15,233.5
2024-09-18,188.05,468.05,628.24,233.32
2024-09-19,186.22,470.31,618.8,239.03
2024-09-20,182.91,470.42,624.19,235.83
2024-09-23,182.0,460.0,629.44,231.27
2024-09-24,183.94,459.83,626.78,229.3
2024-09-25,184.49,453.51,629.7,229.28
2024-09-26,181.8,457.12,618.73,230.12
2024-09-27,182.25,459.24,626.8,229.52
2024-09-30,183.17,454.76,625.24,230.68
2024-10-01,181.3,452.47,620.73,227.04
2024-10-02,181.71,447.47,629.9,231.42
2024-10-03,181.91,447.43,623.76,231.29
2024-10-04,179.49,452.4,611.52,234.76
2024-10-07,180.33,447.76,598.25,235.93
2024-10-08,181.61,450.51,603.39,237.44
2024-10-09,184.05,448.16,592.63,239.32
2024-10-10,186.45,444.52,607.25,240.83
2024-10-11,183.44,444.26,589.61,242.97
2024-10-14,181.45,439.47,603.68,247.29
2024-10-15,182.64,437.05,605.52,248.04
2024-10-16,183.84,431.56,604.76,250.45
2024-10-17,185.05,441.14,600.21,250.29
2024-10-18,193.68,441.58,603.62,255.1
2024-10-21,195.09,438.45,603.36,252.98
2024-10-22,197.82,439.74,612.74,259.03
2024-10-23,200.17,439.46,613.78,259.02
2024-10-24,201.81,438.66,615.14,254.34
2024-10-25,201.13,441.88,612.07,254.89
2024-10-28,203.04,445.83,611.64,252.76
2024-10-29,201.24,443.5,614.34,255.65
2024-10-30,200.75,440.95,599.69,253.61
2024-10-31,199.66,439.88,588.43,252.26
2024-11-01,199.93,429.01,594.61,246.19
2024-11-04,205.57,422.12,596.09,244.87
2024-11-05,201.04,428.72,594.62,237.27
2024-11-06,202.78,436.73,594.83,232.51
2024-11-07,198.94,435.8,597.79,234.92
2024-11-08,197.89,438.82,593.33,237.44
2024-11-11,200.55,440.59,586.92,238.87
2024-11-12,200.79,455.77,588.59,235.99
2024-11-13,198.27,461.66,580.59,235.96
2024-11-14,196.65,461.29,583.96,236.07
2024-11-15,198.33,456.72,570.1,232.63
2024-11-18,196.67,448.92,578.37,237.29
2024-11-19,197.26,450.19,582.26,240.12
2024-11-20,197.45,446.72,584.4,239.55
2024-11-21,195.98,440.0,592.5,239.75
2024-11-22,201.11,437.13,606.38,240.52
2024-11-25,202.72,432.19,615.05,234.26
2024-11-26,197.87,440.47,599.26,233.62
2024-11-27,198.39,445.01,588.58,231.67
2024-11-28,196.9,445.24,583.49,228.77
2024-11-29,198.99,452.75,583.77,228.04
2024-12-02,197.18,453.41,588.05,233.49
2024-12-03,196.98,449.39,582.14,235.55
2024-12-04,198.26,457.18,583.72,233.92
2024-12-05,200.39,460.17,577.6,235.78
2024-12-06,197.59,455.19,572.72,240.18
2024-12-09,196.87,454.52,561.5,243.19
2024-12-10,195.83,450.41,554.29,243.5
2024-12-11,194.37,443.83,543.86,241.57
2024-12-12,198.57,448.62,536.48,243.89
2024-12-13,199.61,458.31,544.45,245.26
2024-12-16,196.67,451.53,537.27,248.23
2024-12-17,198.92,454.6,557.12,250.41
